x
                                Người thứ 1   Người thứ 2   Người thứ 3   Người thứ 4   Người thứ 5   Người thứ 6   Người thứ 7   Người thứ 8   Người thứ 9   Người thứ 10   Kết quả trung bình
Lần lấy mẫu giả lập thứ 259              88            56            60            49            73            69            73            45            55             88                 65.6
Lần lấy mẫu giả lập thứ 260              60            60            56            55            88            88            55            60            55             49                 62.6
Lần lấy mẫu giả lập thứ 261              49            56            55            89            88            49            55            73            89             45                 64.8
Lần lấy mẫu giả lập thứ 262              69            88            55            45            60            88            71            88            88             60                 71.2
Lần lấy mẫu giả lập thứ 263              89            45            56            45            69            45            73            89            89             49                 64.9
Lần lấy mẫu giả lập thứ 264              71            55            73            45            55            71            71            89            89             45                 66.4
Lần lấy mẫu giả lập thứ 265              55            55            56            71            56            73            88            55            88             55                 65.2
Lần lấy mẫu giả lập thứ 266              73            55            60            49            56            55            69            45            56             56                 57.4
Lần lấy mẫu giả lập thứ 267              69            73            69            49            73            45            69            56            69             55                 62.7
Lần lấy mẫu giả lập thứ 268              69            69            55            69            49            88            69            88            55             55                 66.6
Lần lấy mẫu giả lập thứ 269              88            89            88            55            45            56            45            45            88             45                 64.4
Lần lấy mẫu giả lập thứ 270              49            89            55            55            45            60            60            49            55             69                 58.6
Lần lấy mẫu giả lập thứ 271              56            49            49            69            88            55            88            71            49             73                 64.7
Lần lấy mẫu giả lập thứ 272              71            55            71            55            69            55            60            71            45             88                 64.0
Lần lấy mẫu giả lập thứ 273              71            56            89            45            49            45            73            60            55             49                 59.2
Lần lấy mẫu giả lập thứ 274              71            89            45            69            71            60            45            69            60             56                 63.5
Lần lấy mẫu giả lập thứ 275              89            55            73            69            73            45            45            88            88             60                 68.5
Lần lấy mẫu giả lập thứ 276              69            45            49            56            60            73            60            71            56             49                 58.8
Lần lấy mẫu giả lập thứ 277              55            49            55            45            60            56            45            49            73             88                 57.5
Lần lấy mẫu giả lập thứ 278              88            55            89            55            45            49            60            56            49             71                 61.7
Lần lấy mẫu giả lập thứ 279              56            56            55            56            73            89            60            56            45             55                 60.1
Lần lấy mẫu giả lập thứ 280              45            45            60            88            56            69            60            55            73             56                 60.7
Lần lấy mẫu giả lập thứ 281              73            55            89            56            88            49            73            56            45             60                 64.4
Lần lấy mẫu giả lập thứ 282              55            60            89            49            69            60            60            88            88             55                 67.3
Lần lấy mẫu giả lập thứ 283              69            45            69            60            45            69            55            60            69             73                 61.4
Lần lấy mẫu giả lập thứ 284              56            71            73            49            45            60            60            69            45             89                 61.7
Lần lấy mẫu giả lập thứ 285              71            69            49            60            56            89            69            88            69             89                 70.9
Lần lấy mẫu giả lập thứ 286              60            45            45            55            88            89            71            89            56             60                 65.8
Lần lấy mẫu giả lập thứ 287              88            73            55            69            45            55            88            73            71             49                 66.6
Lần lấy mẫu giả lập thứ 288              71            89            71            56            73            89            49            49            71             88                 70.6
Lần lấy mẫu giả lập thứ 289              60            45            45            45            69            89            73            89            60             45                 62.0
Lần lấy mẫu giả lập thứ 290              55            60            88            55            45            45            88            55            49             56                 59.6
Lần lấy mẫu giả lập thứ 291              71            45            55            60            55            49            89            73            55             89                 64.1
Lần lấy mẫu giả lập thứ 292              69            73            69            49            69            88            60            88            73             60                 69.8
Lần lấy mẫu giả lập thứ 293              89            71            55            73            71            55            69            88            69             69                 70.9
Lần lấy mẫu giả lập thứ 294              49            45            88            71            45            73            88            45            60             89                 65.3
Lần lấy mẫu giả lập thứ 295              71            45            60            89            71            60            60            69            71             45                 64.1
Lần lấy mẫu giả lập thứ 296              56            69            69            71            49            60            88            60            73             56                 65.1
Lần lấy mẫu giả lập thứ 297              73            89            49            88            60            60            88            49            71             45                 67.2
Lần lấy mẫu giả lập thứ 298              49            89            71            88            60            60            45            55            89             69                 67.5
Lần lấy mẫu giả lập thứ 299              49            89            55            88            45            55            55            45            69             55                 60.5
Lần lấy mẫu giả lập thứ 300              45            55            88            73            45            88            73            55            55             56                 63.3
Lần lấy mẫu giả lập thứ 301              88            60            49            49            73            88            49            88            71             88                 70.3
Lần lấy mẫu giả lập thứ 302              55            60            73            56            45            73            60            69            69             73                 63.3
Lần lấy mẫu giả lập thứ 303              45            73            55            88            45            45            60            73            55             56                 59.5
Lần lấy mẫu giả lập thứ 304              73            49            45            71            60            49            45            49            71             60                 57.2
Lần lấy mẫu giả lập thứ 305              89            73            88            89            55            88            45            49            45             55                 67.6
Lần lấy mẫu giả lập thứ 306              45            60            73            56            89            73            55            73            55             45                 62.4
Lần lấy mẫu giả lập thứ 307              60            89            73            49            55            60            71            55            60             88                 66.0
Lần lấy mẫu giả lập thứ 308              71            88            60            55            45            73            55            88            60             60                 65.5
Lần lấy mẫu giả lập thứ 309              49            71            49            73            60            88            73            49            56             73                 64.1
Lần lấy mẫu giả lập thứ 310              56            69            88            89            45            56            89            73            88             71                 72.4
Lần lấy mẫu giả lập thứ 311              69            60            55            88            60            88            45            55            56             69                 64.5
Lần lấy mẫu giả lập thứ 312              45            73            56            49            56            69            71            56            69             49                 59.3
Lần lấy mẫu giả lập thứ 313              71            88            55            45            55            73            56            56            69             88                 65.6
Lần lấy mẫu giả lập thứ 314              69            71            55            49            89            89            73            55            60             45                 65.5
Lần lấy mẫu giả lập thứ 315              88            45            55            89            56            73            73            73            73             73                 69.8
Lần lấy mẫu giả lập thứ 316              71            56            88            56            60            60            45            89            60             60                 64.5
Lần lấy mẫu giả lập thứ 317              71            55            69            60            69            55            69            88            45             55                 63.6
Lần lấy mẫu giả lập thứ 318              88            45            73            45            69            71            56            73            71             56                 64.7
Lần lấy mẫu giả lập thứ 319              73            56            60            69            71            89            56            73            89             45                 68.1
Lần lấy mẫu giả lập thứ 320              89            71            56            56            55            88            45            49            88             55                 65.2
Lần lấy mẫu giả lập thứ 321              69            88            89            88            49            69            88            88            45             88                 76.1
Lần lấy mẫu giả lập thứ 322              88            55            56            69            49            55            55            55            73             49                 60.4
Lần lấy mẫu giả lập thứ 323              55            56            55            55            56            49            69            69            60             69                 59.3
Lần lấy mẫu giả lập thứ 324              55            55            88            56            55            71            60            55            55             56                 60.6
Lần lấy mẫu giả lập thứ 325              56            60            88            69            45            88            45            73            69             73                 66.6
Lần lấy mẫu giả lập thứ 326              88            56            69            45            71            60            56            55            56             49                 60.5
Lần lấy mẫu giả lập thứ 327              71            73            49            49            56            88            45            56            45             69                 60.1
Lần lấy mẫu giả lập thứ 328              45            49            73            88            45            60            45            45            71             60                 58.1
Lần lấy mẫu giả lập thứ 329              55            55            45            69            60            60            45            88            71             45                 59.3
Lần lấy mẫu giả lập thứ 330              60            73            55            45            88            56            89            71            71             55                 66.3
Lần lấy mẫu giả lập thứ 331              49            45            88            88            69            73            89            71            89             56                 71.7
Lần lấy mẫu giả lập thứ 332              45            71            73            69            49            56            55            49            45             55                 56.7
Lần lấy mẫu giả lập thứ 333              55            56            71            88            71            55            56            89            55             73                 66.9
Lần lấy mẫu giả lập thứ 334              49            89            88            89            60            69            73            71            88             60                 73.6
Lần lấy mẫu giả lập thứ 335              60            45            69            88            56            55            55            89            89             71                 67.7
Lần lấy mẫu giả lập thứ 336              56            73            55            45            49            71            60            45            56             55                 56.5
Lần lấy mẫu giả lập thứ 337              60            71            49            45            60            60            89            89            49             56                 62.8
Lần lấy mẫu giả lập thứ 338              49            73            73            56            89            69            45            89            60             88                 69.1
Lần lấy mẫu giả lập thứ 339              49            71            89            89            45            89            55            69            89             60                 70.5
Lần lấy mẫu giả lập thứ 340              60            49            89            60            71            55            49            71            56             89                 64.9
Lần lấy mẫu giả lập thứ 341              45            49            45            88            69            89            71            89            73             69                 68.7
Lần lấy mẫu giả lập thứ 342              49            56            69            71            71            49            55            55            88             71                 63.4
Lần lấy mẫu giả lập thứ 343              69            56            55            71            55            55            56            60            49             89                 61.5
Lần lấy mẫu giả lập thứ 344              69            71            71            55            60            49            49            73            49             88                 63.4
Lần lấy mẫu giả lập thứ 345              60            69            73            56            55            56            55            45            55             56                 58.0
Lần lấy mẫu giả lập thứ 346              56            71            55            49            45            69            56            55            60             69                 58.5
Lần lấy mẫu giả lập thứ 347              49            56            49            45            89            55            88            89            89             69                 67.8
Lần lấy mẫu giả lập thứ 348              73            55            88            69            88            88            69            88            88             73                 77.9
Lần lấy mẫu giả lập thứ 349              60            60            69            73            56            71            45            73            45             45                 59.7
Lần lấy mẫu giả lập thứ 350              73            60            73            55            49            89            60            71            73             60                 66.3
Lần lấy mẫu giả lập thứ 351              73            49            55            56            88            69            73            60            73             73                 66.9
Lần lấy mẫu giả lập thứ 352              60            55            71            49            60            71            69            45            45             49                 57.4
Lần lấy mẫu giả lập thứ 353              71            45            89            55            88            45            73            56            45             69                 63.6
Lần lấy mẫu giả lập thứ 354              73            49            71            49            73            73            55            60            73             89                 66.5
Lần lấy mẫu giả lập thứ 355              60            55            89            56            56            60            49            49            45             69                 58.8
Lần lấy mẫu giả lập thứ 356              69            45            60            71            71            56            56            89            73             88                 67.8
Lần lấy mẫu giả lập thứ 357              69            73            56            88            88            88            71            71            73             49                 72.6
Lần lấy mẫu giả lập thứ 358              45            73            89            60            60            45            60            55            45             69                 60.1
Lần lấy mẫu giả lập thứ 359              55            88            71            89            56            88            60            56            69             89                 72.1
Lần lấy mẫu giả lập thứ 360              60            56            49            55            69            45            45            69            88             89                 62.5
Lần lấy mẫu giả lập thứ 361              88            45            45            55            71            45            89            49            71             60                 61.8
Lần lấy mẫu giả lập thứ 362              55            71            73            71            71            73            88            45            49             60                 65.6
Lần lấy mẫu giả lập thứ 363              55            45            88            55            71            56            56            55            69             89                 63.9
Lần lấy mẫu giả lập thứ 364              55            89            55            71            89            45            60            56            71             60                 65.1
Lần lấy mẫu giả lập thứ 365              60            56            71            88            69            55            73            55            88             88                 70.3
Lần lấy mẫu giả lập thứ 366              49            55            89            89            69            71            88            89            60             89                 74.8
Lần lấy mẫu giả lập thứ 367              88            89            89            49            55            88            56            49            73             69                 70.5
Lần lấy mẫu giả lập thứ 368              89            49            88            60            55            88            60            71            71             71                 70.2
Lần lấy mẫu giả lập thứ 369              88            56            55            88            49            69            55            71            73             49                 65.3
Lần lấy mẫu giả lập thứ 370              89            89            69            49            45            56            73            49            88             71                 67.8
Lần lấy mẫu giả lập thứ 371              56            69            71            55            56            60            55            60            71             73                 62.6
Lần lấy mẫu giả lập thứ 372              55            55            55            49            69            69            89            56            45             71                 61.3
Lần lấy mẫu giả lập thứ 373              88            71            49            71            73            69            71            45            71             73                 68.1
Lần lấy mẫu giả lập thứ 374              73            73            73            56            49            89            45            45            69             55                 62.7
Lần lấy mẫu giả lập thứ 375              55            73            71            60            69            45            69            60            55             60                 61.7
Lần lấy mẫu giả lập thứ 376              69            71            71            73            49            45            55            56            60             56                 60.5
Lần lấy mẫu giả lập thứ 377              71            71            69            89            45            71            89            71            73             71                 72.0
Lần lấy mẫu giả lập thứ 378              71            60            45            56            89            88            73            55            49             88                 67.4
Lần lấy mẫu giả lập thứ 379              60            88            89            69            55            69            49            88            88             45                 70.0
Lần lấy mẫu giả lập thứ 380              56            73            49            69            69            73            55            56            60             89                 64.9
Lần lấy mẫu giả lập thứ 381              49            49            45            60            69            60            55            55            45             88                 57.5
Lần lấy mẫu giả lập thứ 382              60            89            49            49            55            73            73            60            60             45                 61.3
Lần lấy mẫu giả lập thứ 383              60            89            55            71            45            60            60            45            56             45                 58.6
Lần lấy mẫu giả lập thứ 384              56            69            45            45            56            88            55            49            60             88                 61.1
Lần lấy mẫu giả lập thứ 385              49            89            45            49            88            55            56            55            88             60                 63.4
Lần lấy mẫu giả lập thứ 386              49            45            71            73            55            60            49            60            89             73                 62.4
Lần lấy mẫu giả lập thứ 387              55            56            49            88            71            89            69            49            89             56                 67.1
Lần lấy mẫu giả lập thứ 388              73            60            60            88            69            49            88            71            55             71                 68.4
Lần lấy mẫu giả lập thứ 389              73            56            55            73            60            88            49            56            88             56                 65.4
Lần lấy mẫu giả lập thứ 390              55            88            71            55            71            73            56            89            60             69                 68.7
Lần lấy mẫu giả lập thứ 391              45            89            55            55            55            60            73            69            73             60                 63.4
Lần lấy mẫu giả lập thứ 392              73            69            71            60            60            55            55            71            56             89                 65.9
Lần lấy mẫu giả lập thứ 393              73            73            89            55            89            49            89            69            88             45                 71.9
Lần lấy mẫu giả lập thứ 394              69            88            69            55            56            71            56            60            73             71                 66.8
Lần lấy mẫu giả lập thứ 395              60            55            60            45            88            55            49            45            89             56                 60.2
Lần lấy mẫu giả lập thứ 396              89            45            89            73            73            88            88            88            55             55                 74.3
Lần lấy mẫu giả lập thứ 397              88            55            89            60            56            56            88            49            73             55                 66.9
Lần lấy mẫu giả lập thứ 398              89            60            60            55            71            56            55            88            88             69                 69.1
Lần lấy mẫu giả lập thứ 399              60            73            60            60            49            73            49            45            71             71                 61.1
Lần lấy mẫu giả lập thứ 400              73            49            88            73            73            69            49            55            89             56                 67.4
Lần lấy mẫu giả lập thứ 401              88            60            56            88            45            89            45            45            49             88                 65.3
Lần lấy mẫu giả lập thứ 402              60            89            60            69            55            56            45            89            60             55                 63.8
Lần lấy mẫu giả lập thứ 403              49            71            69            45            73            55            88            56            60             89                 65.5
Lần lấy mẫu giả lập thứ 404              49            56            60            60            89            45            49            89            45             71                 61.3
Lần lấy mẫu giả lập thứ 405              60            71            69            73            55            56            55            60            69             73                 64.1
Lần lấy mẫu giả lập thứ 406              69            73            56            45            71            49            49            60            60             69                 60.1
Lần lấy mẫu giả lập thứ 407              60            88            49            56            69            73            49            55            69             56                 62.4
Lần lấy mẫu giả lập thứ 408              49            73            69            49            45            55            89            69            73             55                 62.6
Lần lấy mẫu giả lập thứ 409              69            60            55            71            88            73            55            45            88             69                 67.3
Lần lấy mẫu giả lập thứ 410              71            49            73            69            56            55            73            56            71             55                 62.8
Lần lấy mẫu giả lập thứ 411              56            60            89            73            69            45            88            60            49             56                 64.5
Lần lấy mẫu giả lập thứ 412              69            60            49            71            88            89            88            60            60             89                 72.3
Lần lấy mẫu giả lập thứ 413              88            88            73            69            45            71            45            60            73             49                 66.1
Lần lấy mẫu giả lập thứ 414              69            73            71            73            89            89            45            45            56             88                 69.8
Lần lấy mẫu giả lập thứ 415              55            49            88            56            89            56            89            49            60             88                 67.9
Lần lấy mẫu giả lập thứ 416              49            49            73            60            73            88            49            73            71             45                 63.0
Lần lấy mẫu giả lập thứ 417              71            60            56            60            49            71            71            60            60             55                 61.3
Lần lấy mẫu giả lập thứ 418              69            69            60            69            69            49            49            71            55             55                 61.5
Lần lấy mẫu giả lập thứ 419              55            56            69            60            49            88            55            71            60             73                 63.6
Lần lấy mẫu giả lập thứ 420              89            88            89            73            69            89            55            69            49             88                 75.8
Lần lấy mẫu giả lập thứ 421              88            60            88            45            73            56            45            45            60             56                 61.6
Lần lấy mẫu giả lập thứ 422              89            60            49            49            89            60            45            73            45             49                 60.8
Lần lấy mẫu giả lập thứ 423              88            88            49            45            71            55            73            69            60             60                 65.8
Lần lấy mẫu giả lập thứ 424              71            69            69            49            73            45            89            45            88             71                 66.9
Lần lấy mẫu giả lập thứ 425              56            45            88            69            56            71            71            69            45             89                 65.9
Lần lấy mẫu giả lập thứ 426              69            49            49            69            89            73            89            55            88             71                 70.1
Lần lấy mẫu giả lập thứ 427              55            88            69            73            73            49            88            88            45             89                 71.7
Lần lấy mẫu giả lập thứ 428              73            60            89            88            89            69            60            89            71             71                 75.9
Lần lấy mẫu giả lập thứ 429              60            49            89            60            73            71            69            73            69             56                 66.9
Lần lấy mẫu giả lập thứ 430              71            89            69            89            60            89            56            69            49             88                 72.9
Lần lấy mẫu giả lập thứ 431              60            73            89            45            71            56            73            56            56             89                 66.8
Lần lấy mẫu giả lập thứ 432              45            49            55            69            73            55            73            88            56             49                 61.2
Lần lấy mẫu giả lập thứ 433              56            69            69            69            89            56            73            49            69             89                 68.8
Lần lấy mẫu giả lập thứ 434              55            49            69            55            49            49            88            89            88             60                 65.1
Lần lấy mẫu giả lập thứ 435              73            45            73            89            56            73            60            71            45             55                 64.0
Lần lấy mẫu giả lập thứ 436              60            49            45            73            89            89            88            49            56             69                 66.7
Lần lấy mẫu giả lập thứ 437              89            69            45            69            73            45            71            60            73             45                 63.9
Lần lấy mẫu giả lập thứ 438              56            89            69            89            60            71            49            73            45             56                 65.7
Lần lấy mẫu giả lập thứ 439              45            73            60            60            49            55            45            45            55             71                 55.8
Lần lấy mẫu giả lập thứ 440              60            60            60            71            55            73            71            89            49             55                 64.3
Lần lấy mẫu giả lập thứ 441              45            55            60            56            73            73            49            55            45             45                 55.6
Lần lấy mẫu giả lập thứ 442              45            56            56            49            88            71            56            88            89             55                 65.3
Lần lấy mẫu giả lập thứ 443              89            49            56            56            55            89            49            88            69             89                 68.9
Lần lấy mẫu giả lập thứ 444              60            69            55            55            45            49            49            71            45             60                 55.8
Lần lấy mẫu giả lập thứ 445              55            88            55            49            89            89            60            56            60             71                 67.2
Lần lấy mẫu giả lập thứ 446              71            69            89            69            55            49            55            55            49             60                 62.1
Lần lấy mẫu giả lập thứ 447              73            60            89            55            60            45            60            45            55             69                 61.1
Lần lấy mẫu giả lập thứ 448              49            56            89            49            49            69            45            88            49             89                 63.2
Lần lấy mẫu giả lập thứ 449              69            56            73            73            56            71            73            73            71             69                 68.4
Lần lấy mẫu giả lập thứ 450              49            88            71            71            71            69            55            45            55             60                 63.4
Lần lấy mẫu giả lập thứ 451              55            49            88            73            56            55            56            49            56             45                 58.2
Lần lấy mẫu giả lập thứ 452              56            88            71            88            60            69            89            60            55             89                 72.5
Lần lấy mẫu giả lập thứ 453              49            60            71            88            45            89            49            60            56             45                 61.2
Lần lấy mẫu giả lập thứ 454              49            88            45            49            45            88            55            55            71             60                 60.5
Lần lấy mẫu giả lập thứ 455              69            49            89            89            71            49            45            45            71             45                 62.2
Lần lấy mẫu giả lập thứ 456              69            89            69            60            55            60            88            45            88             60                 68.3
Lần lấy mẫu giả lập thứ 457              88            89            71            88            56            88            89            60            55             55                 73.9
Lần lấy mẫu giả lập thứ 458              88            60            45            88            73            73            55            89            60             60                 69.1
Lần lấy mẫu giả lập thứ 459              88            73            89            89            71            55            45            49            56             73                 68.8
Lần lấy mẫu giả lập thứ 460              69            45            88            69            49            69            88            73            49             73                 67.2
Lần lấy mẫu giả lập thứ 461              56            56            89            71            73            69            71            89            56             69                 69.9
Lần lấy mẫu giả lập thứ 462              45            49            69            49            73            55            88            56            69             71                 62.4
Lần lấy mẫu giả lập thứ 463              71            55            56            71            69            56            73            60            60             88                 65.9
Lần lấy mẫu giả lập thứ 464              49            49            73            71            71            56            60            60            88             88                 66.5
Lần lấy mẫu giả lập thứ 465              71            69            89            73            88            69            55            55            71             49                 68.9
Lần lấy mẫu giả lập thứ 466              88            49            73            56            56            49            73            45            73             69                 63.1
Lần lấy mẫu giả lập thứ 467              89            89            69            55            60            89            71            73            49             73                 71.7
Lần lấy mẫu giả lập thứ 468              45            55            73            71            56            69            88            73            60             73                 66.3
Lần lấy mẫu giả lập thứ 469              55            55            89            49            49            88            56            88            88             89                 70.6
Lần lấy mẫu giả lập thứ 470              89            55            69            45            89            56            60            49            55             73                 64.0
Lần lấy mẫu giả lập thứ 471              69            45            45            49            73            73            49            88            49             69                 60.9
Lần lấy mẫu giả lập thứ 472              73            45            88            60            73            60            89            55            73             73                 68.9
Lần lấy mẫu giả lập thứ 473              73            89            73            60            71            71            69            45            60             89                 70.0
Lần lấy mẫu giả lập thứ 474              60            71            73            55            69            45            55            89            45             89                 65.1
Lần lấy mẫu giả lập thứ 475              71            49            88            73            73            89            73            73            55             73                 71.7
Lần lấy mẫu giả lập thứ 476              56            60            60            45            73            45            89            55            69             71                 62.3
Lần lấy mẫu giả lập thứ 477              45            56            55            60            69            73            73            60            73             73                 63.7
Lần lấy mẫu giả lập thứ 478              88            69            88            73            56            69            89            89            49             60                 73.0
Lần lấy mẫu giả lập thứ 479              55            49            45            88            49            49            88            69            71             56                 61.9
